id,symbol,date,rsi,macd,macd_signal,percent_b,atr,price_change,ma_trend,rsi_zscore,macd_zscore,bollinger_zscore,atr_zscore,price_momentum_zscore,ma_trend_zscore,composite_zscore,signal,signal_strength,lookback_period,data_quality,created_at,updated_at
11,SPY,"""2023-10-18T04:00:00.000Z""",25.82,-8.5205,-6.8164,0.1801,8.8206,0.1018,-5.0141,-0.8707,-1.277,0.1126,-0.654,0.3413,-0.5254,-0.5868,HOLD,0.2,20,calculated,"""2025-08-06T00:44:48.983Z""","""2025-08-06T00:44:48.983Z"""
12,SPY,"""2023-10-19T04:00:00.000Z""",42.5,-8.658,-6.9264,0.2107,9.5022,0.0814,-4.4092,0.9843,-1.2067,0.3282,-0.6092,0.3287,-0.182,-0.0362,HOLD,0.01,20,calculated,"""2025-08-06T00:44:48.983Z""","""2025-08-06T00:44:48.983Z"""
13,SPY,"""2023-10-20T04:00:00.000Z""",41.4,-8.4724,-6.7779,0.2724,9.8293,0.7086,-3.2068,0.9039,-1.0718,0.7865,-0.6382,0.6545,0.5111,0.1615,HOLD,0.04,20,calculated,"""2025-08-06T00:44:48.984Z""","""2025-08-06T00:44:48.984Z"""
14,SPY,"""2023-10-23T04:00:00.000Z""",34.28,-8.3972,-6.7177,0.253,10.1024,-0.6027,-3.3385,0.127,-0.975,0.6108,-0.6785,-0.0858,0.5024,-0.1509,HOLD,0.04,20,calculated,"""2025-08-06T00:44:48.984Z""","""2025-08-06T00:44:48.984Z"""
15,SPY,"""2023-10-24T04:00:00.000Z""",35.53,-7.8844,-6.3075,0.3636,9.3804,1.3027,-1.6375,0.3822,-0.7482,1.1537,-0.9192,0.9272,1.4869,0.2774,HOLD,0.07,20,calculated,"""2025-08-06T00:44:48.985Z""","""2025-08-06T00:44:48.985Z"""
16,SPY,"""2023-10-25T04:00:00.000Z""",42.1,-7.1534,-5.7227,0.4624,8.8344,0.8592,-0.3507,1.6979,-0.4107,1.6576,-1.1756,0.6801,2.2262,0.7775,HOLD,0.26,20,calculated,"""2025-08-06T00:44:48.985Z""","""2025-08-06T00:44:48.985Z"""
17,SPY,"""2023-10-26T04:00:00.000Z""",40.38,-6.6093,-5.2874,0.4465,8.103,-0.3919,-0.3637,1.4372,-0.027,1.4003,-1.4761,-0.0229,2.0451,0.6161,HOLD,0.21,20,calculated,"""2025-08-06T00:44:48.986Z""","""2025-08-06T00:44:48.986Z"""
18,SPY,"""2023-10-27T04:00:00.000Z""",39.96,-5.8875,-4.71,0.556,6.565,0.7868,0.3803,1.2565,0.6462,2.1856,-1.6345,0.7297,2.1832,0.9679,HOLD,0.32,20,calculated,"""2025-08-06T00:44:48.986Z""","""2025-08-06T00:44:48.986Z"""
19,SPY,"""2023-10-30T04:00:00.000Z""",44.91,-5.5022,-4.4018,0.4338,6.2604,-0.8768,-0.4498,1.8264,1.1345,1.373,-1.5038,-0.8198,1.5887,0.8317,HOLD,0.28,20,calculated,"""2025-08-06T00:44:48.987Z""","""2025-08-06T00:44:48.987Z"""
20,SPY,"""2023-10-31T04:00:00.000Z""",48.95,-5.0044,-4.0035,0.5151,6.1885,0.4765,0.1004,2.0888,1.6005,1.7876,-1.3594,0.5494,1.654,1.3023,HOLD,0.43,20,calculated,"""2025-08-06T00:44:48.987Z""","""2025-08-06T00:44:48.987Z"""
21,SPY,"""2023-11-01T04:00:00.000Z""",37.36,-4.9977,-3.9982,0.2985,5.3491,-1.5676,-1.2647,0.349,1.582,0.1158,-1.3757,-1.3512,0.8811,0.248,HOLD,0.06,20,calculated,"""2025-08-06T00:44:48.988Z""","""2025-08-06T00:44:48.988Z"""
22,SPY,"""2023-11-02T04:00:00.000Z""",41.1,-4.9227,-3.9382,0.3255,4.9525,0.0462,-1.0491,0.8252,1.5523,0.2595,-1.3241,0.2102,0.894,0.6218,HOLD,0.21,20,calculated,"""2025-08-06T00:44:48.988Z""","""2025-08-06T00:44:48.988Z"""
23,SPY,"""2023-11-03T04:00:00.000Z""",54.94,-4.713,-3.7704,0.4011,4.8079,0.3432,-0.5513,2.2846,1.5804,0.7736,-1.2468,0.4894,1.0316,1.1342,HOLD,0.38,20,calculated,"""2025-08-06T00:44:48.989Z""","""2025-08-06T00:44:48.989Z"""
24,SPY,"""2023-11-06T04:00:00.000Z""",57.39,-4.4981,-3.5985,0.4202,4.4539,-0.0115,-0.3599,2.137,1.5955,0.8494,-1.2254,0.1865,1.0267,1.0686,HOLD,0.36,20,calculated,"""2025-08-06T00:44:48.989Z""","""2025-08-06T00:44:48.989Z"""
25,SPY,"""2023-11-07T04:00:00.000Z""",58.71,-4.178,-3.3424,0.5174,4.0774,0.3622,0.0749,1.9442,1.6249,1.4399,-1.2335,0.4885,1.1173,1.1699,HOLD,0.39,20,calculated,"""2025-08-06T00:44:48.990Z""","""2025-08-06T00:44:48.990Z"""
26,SPY,"""2023-11-08T04:00:00.000Z""",63.95,-3.5166,-2.8133,0.8143,4.0572,1.3031,1.3675,2.08,1.7891,2.7808,-1.1882,1.3865,1.5474,1.6283,BUY,0.81,20,calculated,"""2025-08-06T00:44:48.990Z""","""2025-08-06T00:44:48.990Z"""
27,SPY,"""2023-11-09T04:00:00.000Z""",61.96,-2.9041,-2.3233,0.8898,4.3199,0.1922,1.5965,1.6635,1.8553,2.5163,-1.0646,0.2463,1.466,1.3343,HOLD,0.44,20,calculated,"""2025-08-06T00:44:48.991Z""","""2025-08-06T00:44:48.991Z"""
28,SPY,"""2023-11-10T04:00:00.000Z""",71.39,-1.9692,-1.5753,1.1246,5.1778,1.4927,3.0189,2.0735,1.9979,2.7494,-0.7615,1.506,1.8178,1.7618,BUY,0.88,20,calculated,"""2025-08-06T00:44:48.991Z""","""2025-08-06T00:44:48.991Z"""
29,SPY,"""2023-11-13T04:00:00.000Z""",61.41,-1.4439,-1.1551,0.8991,5.5631,-0.8007,2.0216,1.1855,1.9237,1.637,-0.5738,-1.2571,1.307,0.9076,HOLD,0.3,20,calculated,"""2025-08-06T00:44:48.992Z""","""2025-08-06T00:44:48.992Z"""
30,SPY,"""2023-11-14T04:00:00.000Z""",63.67,-0.6107,-0.4886,1.0666,6.8482,1.4237,3.2058,1.2675,1.9699,1.9684,0.0917,1.4383,1.7046,1.5,HOLD,0.5,20,calculated,"""2025-08-06T00:44:48.993Z""","""2025-08-06T00:44:48.993Z"""
31,SPY,"""2023-11-15T04:00:00.000Z""",60.63,-0.2031,-0.1625,0.8661,7.2473,-0.8732,2.0909,0.9417,1.8694,1.1273,0.333,-1.2854,1.1301,0.8254,HOLD,0.28,20,calculated,"""2025-08-06T00:44:48.993Z""","""2025-08-06T00:44:48.993Z"""
32,SPY,"""2023-11-16T04:00:00.000Z""",57.7,0.1322,0.1058,0.8396,7.6169,0.0474,1.9279,0.6124,1.7792,0.9348,0.5938,-0.1936,0.9931,0.8678,HOLD,0.29,20,calculated,"""2025-08-06T00:44:48.993Z""","""2025-08-06T00:44:48.993Z"""
33,SPY,"""2023-11-17T04:00:00.000Z""",59.46,0.2282,0.1826,0.7135,7.6425,-0.5768,1.1955,0.6941,1.6367,0.3968,0.7164,-0.8476,0.5048,0.6372,HOLD,0.21,20,calculated,"""2025-08-06T00:44:48.994Z""","""2025-08-06T00:44:48.994Z"""
34,SPY,"""2023-11-20T04:00:00.000Z""",64.05,0.7771,0.6217,0.958,8.3716,1.6731,2.6249,1.0173,1.6759,1.216,1.2865,1.5752,1.3506,1.3557,HOLD,0.45,20,calculated,"""2025-08-06T00:44:48.994Z""","""2025-08-06T00:44:48.994Z"""
35,SPY,"""2023-11-21T04:00:00.000Z""",74.92,1.1983,0.9586,0.9012,8.272,0.0,2.4274,1.8272,1.6662,0.9001,1.3337,-0.2258,1.1154,1.2194,HOLD,0.41,20,calculated,"""2025-08-06T00:44:48.995Z""","""2025-08-06T00:44:48.995Z"""
36,SPY,"""2023-11-22T04:00:00.000Z""",74.57,1.5067,1.2053,0.8523,7.8145,-0.0276,2.2472,1.5939,1.6126,0.6358,1.1205,-0.2095,0.8915,1.0668,HOLD,0.36,20,calculated,"""2025-08-06T00:44:48.995Z""","""2025-08-06T00:44:48.995Z"""
37,SPY,"""2023-11-23T04:00:00.000Z""",73.44,1.7255,1.3804,0.8129,7.1952,-0.0193,2.0572,1.3577,1.5354,0.4155,0.7504,-0.2237,0.6767,0.8948,HOLD,0.3,20,calculated,"""2025-08-06T00:44:48.996Z""","""2025-08-06T00:44:48.996Z"""
38,SPY,"""2023-11-24T04:00:00.000Z""",74.2,1.9419,1.5535,0.8128,6.2026,0.2234,2.143,1.3146,1.4616,0.3656,0.0582,0.0983,0.6723,0.8367,HOLD,0.28,20,calculated,"""2025-08-06T00:44:48.997Z""","""2025-08-06T00:44:48.997Z"""
39,SPY,"""2023-11-27T04:00:00.000Z""",69.73,1.9689,1.5751,0.727,4.7844,-0.4155,1.5548,0.8091,1.3358,-0.0457,-0.8809,-0.7155,0.1771,0.3517,HOLD,0.09,20,calculated,"""2025-08-06T00:44:48.997Z""","""2025-08-06T00:44:48.997Z"""
40,SPY,"""2023-11-28T04:00:00.000Z""",58.2,1.7171,1.3736,0.5856,4.1,-0.8676,0.5796,-0.3805,1.1271,-0.6674,-1.2333,-1.1524,-0.5894,-0.2686,HOLD,0.07,20,calculated,"""2025-08-06T00:44:48.998Z""","""2025-08-06T00:44:48.998Z"""
41,SPY,"""2023-11-29T04:00:00.000Z""",61.86,1.7914,1.4331,0.7172,3.3989,1.0173,1.3777,-0.162,1.0586,-0.2142,-1.5383,1.031,-0.0866,0.1842,HOLD,0.05,20,good,"""2025-08-06T00:44:48.998Z""","""2025-08-06T00:44:48.998Z"""
42,SPY,"""2023-11-30T04:00:00.000Z""",46.32,1.4112,1.129,0.4588,3.6496,-1.4458,-0.2336,-2.3147,0.8239,-1.5656,-1.2904,-1.882,-1.6298,-1.1818,HOLD,0.39,20,good,"""2025-08-06T00:44:48.999Z""","""2025-08-06T00:44:48.999Z"""
43,SPY,"""2023-12-01T04:00:00.000Z""",53.07,1.2257,0.9805,0.5128,3.3917,0.4507,0.0643,-1.3669,0.6693,-1.3847,-1.3473,0.3448,-1.4517,-0.6103,HOLD,0.2,20,good,"""2025-08-06T00:44:48.999Z""","""2025-08-06T00:44:48.999Z"""
44,SPY,"""2023-12-04T04:00:00.000Z""",45.57,1.1134,0.8907,0.5165,3.3884,0.1644,0.0685,-2.052,0.5427,-1.4523,-1.2783,-0.0021,-1.5227,-0.8756,HOLD,0.29,20,good,"""2025-08-06T00:44:49.000Z""","""2025-08-06T00:44:49.000Z"""
45,SPY,"""2023-12-05T04:00:00.000Z""",49.52,0.9394,0.7515,0.4016,3.411,-0.256,-0.3169,-1.4474,0.3664,-1.9489,-1.2225,-0.4586,-1.8325,-0.9369,HOLD,0.31,20,good,"""2025-08-06T00:44:49.000Z""","""2025-08-06T00:44:49.000Z"""
46,SPY,"""2023-12-06T04:00:00.000Z""",43.58,0.5291,0.4233,0.0905,3.953,-0.9206,-1.2545,-1.8234,-0.0184,-2.6777,-0.9177,-1.1266,-2.2493,-1.3478,HOLD,0.45,20,good,"""2025-08-06T00:44:49.001Z""","""2025-08-06T00:44:49.001Z"""
47,SPY,"""2023-12-07T04:00:00.000Z""",41.75,-0.0648,-0.0519,-0.1318,4.9819,-0.9404,-2.1483,-1.748,-0.6978,-2.6919,-0.3723,-1.0518,-2.3826,-1.4485,HOLD,0.48,20,good,"""2025-08-06T00:44:49.001Z""","""2025-08-06T00:44:49.001Z"""
48,SPY,"""2023-12-08T04:00:00.000Z""",46.78,0.175,0.14,0.5861,4.848,2.5097,0.2938,-1.1496,-0.6872,-0.2549,-0.4363,2.5571,-0.5854,-0.216,HOLD,0.05,20,good,"""2025-08-06T00:44:49.002Z""","""2025-08-06T00:44:49.002Z"""
49,SPY,"""2023-12-11T04:00:00.000Z""",41.23,0.0051,0.0041,0.2278,4.8472,-1.2366,-0.9382,-1.4839,-1.1151,-1.3428,-0.415,-1.2368,-1.3268,-1.2109,HOLD,0.4,20,good,"""2025-08-06T00:44:49.002Z""","""2025-08-06T00:44:49.002Z"""
50,SPY,"""2023-12-12T04:00:00.000Z""",39.14,-0.2964,-0.2371,0.1115,5.0039,-0.5923,-1.4182,-1.4776,-1.577,-1.5633,-0.2804,-0.5146,-1.5124,-1.2546,HOLD,0.42,20,good,"""2025-08-06T00:44:49.003Z""","""2025-08-06T00:44:49.003Z"""
51,SPY,"""2023-12-13T04:00:00.000Z""",38.07,-0.6234,-0.4987,0.0805,5.1665,-0.3332,-1.6672,-1.3987,-1.8946,-1.481,-0.1349,-0.2741,-1.4986,-1.2499,HOLD,0.42,20,good,"""2025-08-06T00:44:49.004Z""","""2025-08-06T00:44:49.004Z"""
52,SPY,"""2023-12-14T04:00:00.000Z""",33.28,-1.2099,-0.9679,-0.0729,5.7592,-1.1986,-2.7074,-1.5706,-2.2421,-1.7236,0.2689,-1.0982,-1.8928,-1.5388,SELL,0.77,20,good,"""2025-08-06T00:44:49.004Z""","""2025-08-06T00:44:49.004Z"""
53,SPY,"""2023-12-15T04:00:00.000Z""",38.68,-1.4219,-1.1375,0.1372,5.6901,0.8403,-1.8185,-1.0635,-2.1107,-0.9822,0.3011,0.9262,-1.2002,-0.8919,HOLD,0.3,20,good,"""2025-08-06T00:44:49.005Z""","""2025-08-06T00:44:49.005Z"""
54,SPY,"""2023-12-18T04:00:00.000Z""",35.89,-2.1046,-1.6837,-0.0883,7.0236,-1.8998,-3.4429,-1.1407,-2.2591,-1.4999,1.2708,-1.6977,-1.921,-1.3946,HOLD,0.46,20,good,"""2025-08-06T00:44:49.005Z""","""2025-08-06T00:44:49.005Z"""
55,SPY,"""2023-12-19T04:00:00.000Z""",28.97,-2.8365,-2.2692,-0.0807,7.9584,-0.803,-3.941,-1.4873,-2.311,-1.3435,1.9557,-0.5266,-1.9353,-1.2281,HOLD,0.41,20,good,"""2025-08-06T00:44:49.006Z""","""2025-08-06T00:44:49.006Z"""
56,SPY,"""2023-12-20T04:00:00.000Z""",32.39,-3.3896,-2.7117,0.003,8.9887,-0.0438,-3.7035,-1.1528,-2.2192,-0.9953,2.4165,0.2499,-1.621,-0.8752,HOLD,0.29,20,good,"""2025-08-06T00:44:49.006Z""","""2025-08-06T00:44:49.006Z"""
57,SPY,"""2023-12-21T04:00:00.000Z""",27.53,-4.0531,-3.2425,-0.0228,10.0752,-0.9853,-4.3294,-1.4258,-2.1839,-0.9846,2.5552,-0.6566,-1.7559,-1.0687,HOLD,0.36,20,good,"""2025-08-06T00:44:49.007Z""","""2025-08-06T00:44:49.007Z"""
58,SPY,"""2023-12-22T04:00:00.000Z""",26.43,-4.5452,-3.6361,0.0386,10.5803,-0.0679,-4.0553,-1.4707,-2.0795,-0.7081,2.3107,0.2886,-1.4789,-0.8673,HOLD,0.29,20,good,"""2025-08-06T00:44:49.007Z""","""2025-08-06T00:44:49.007Z"""
59,SPY,"""2023-12-25T04:00:00.000Z""",25.48,-5.0847,-4.0677,0.0305,11.1624,-0.7624,-4.4333,-1.5231,-2.0143,-0.6601,2.1289,-0.3995,-1.5388,-0.9843,HOLD,0.33,20,good,"""2025-08-06T00:44:49.007Z""","""2025-08-06T00:44:49.007Z"""
60,SPY,"""2023-12-26T04:00:00.000Z""",25.01,-5.7812,-4.625,0.0002,12.3881,-1.2387,-5.2516,-1.4467,-2.0032,-0.6945,2.1611,-0.853,-1.7577,-1.0542,HOLD,0.35,20,good,"""2025-08-06T00:44:49.008Z""","""2025-08-06T00:44:49.008Z"""
61,SPY,"""2023-12-27T04:00:00.000Z""",26.73,-6.2866,-5.0293,0.0539,13.4286,-0.0965,-4.9209,-1.2397,-1.9267,-0.4012,2.1153,0.3652,-1.4611,-0.7316,HOLD,0.24,20,good,"""2025-08-06T00:44:49.009Z""","""2025-08-06T00:44:49.009Z"""
62,SPY,"""2023-12-28T04:00:00.000Z""",8.2,-6.6557,-5.3245,0.0964,12.7492,-0.169,-4.7208,-2.6283,-1.8149,-0.1345,1.6653,0.2279,-1.2189,-1.0521,HOLD,0.35,20,good,"""2025-08-06T00:44:49.009Z""","""2025-08-06T00:44:49.009Z"""
63,SPY,"""2023-12-29T04:00:00.000Z""",8.65,-7.0779,-5.6623,0.088,12.6141,-0.792,-5.0566,-2.2185,-1.7418,-0.0808,1.4528,-0.3878,-1.2801,-1.0431,HOLD,0.35,20,good,"""2025-08-06T00:44:49.010Z""","""2025-08-06T00:44:49.010Z"""
64,SPY,"""2024-01-01T04:00:00.000Z""",15.12,-7.1518,-5.7214,0.1745,11.906,0.6734,-4.0144,-1.4579,-1.58,0.5353,1.1288,1.173,-0.6146,-0.4518,HOLD,0.11,20,good,"""2025-08-06T00:44:49.010Z""","""2025-08-06T00:44:49.010Z"""
65,SPY,"""2024-01-02T04:00:00.000Z""",15.3,-7.1912,-5.7529,0.1875,10.9302,-0.2391,-3.8405,-1.3202,-1.4393,0.7444,0.7546,0.1892,-0.4326,-0.5176,HOLD,0.17,20,good,"""2025-08-06T00:44:49.011Z""","""2025-08-06T00:44:49.011Z"""
66,SPY,"""2024-01-03T04:00:00.000Z""",17.42,-7.1505,-5.7204,0.2142,10.256,-0.0394,-3.5166,-1.0241,-1.2931,0.8635,0.4699,0.3584,-0.1576,-0.3648,HOLD,0.09,20,good,"""2025-08-06T00:44:49.011Z""","""2025-08-06T00:44:49.011Z"""
67,SPY,"""2024-01-04T04:00:00.000Z""",10.18,-6.9932,-5.5946,0.2533,8.1811,0.1669,-3.0458,-1.5062,-1.1226,1.0186,-0.2713,0.5232,0.1909,-0.434,HOLD,0.11,20,good,"""2025-08-06T00:44:49.012Z""","""2025-08-06T00:44:49.012Z"""
68,SPY,"""2024-01-05T04:00:00.000Z""",18.0,-6.701,-5.3608,0.2963,7.0152,0.3394,-2.2929,-0.7314,-0.9258,1.8916,-0.7343,1.1249,0.9367,0.0584,HOLD,0.01,20,good,"""2025-08-06T00:44:49.012Z""","""2025-08-06T00:44:49.012Z"""
69,SPY,"""2024-01-08T04:00:00.000Z""",14.46,-7.037,-5.6296,0.1172,7.1179,-2.428,-4.1973,-0.9801,-0.9724,0.341,-0.7738,-2.4604,-0.5227,-0.9357,HOLD,0.31,20,good,"""2025-08-06T00:44:49.013Z""","""2025-08-06T00:44:49.013Z"""
70,SPY,"""2024-01-09T04:00:00.000Z""",12.7,-7.528,-6.0224,0.0572,7.4923,-1.1947,-4.85,-1.0572,-1.0914,-0.1975,-0.7192,-0.8459,-1.0444,-0.87,HOLD,0.29,20,good,"""2025-08-06T00:44:49.013Z""","""2025-08-06T00:44:49.013Z"""
71,SPY,"""2024-01-10T04:00:00.000Z""",13.43,-7.9649,-6.3719,0.0525,8.239,-0.5419,-4.8636,-0.8959,-1.204,-0.2282,-0.5208,-0.0223,-0.999,-0.7145,HOLD,0.24,20,good,"""2025-08-06T00:44:49.014Z""","""2025-08-06T00:44:49.014Z"""
72,SPY,"""2024-01-11T04:00:00.000Z""",24.1,-7.8981,-6.3185,0.1887,7.7243,1.2567,-3.2741,0.3237,-1.102,0.957,-0.819,1.8925,0.797,0.2307,HOLD,0.06,20,good,"""2025-08-06T00:44:49.014Z""","""2025-08-06T00:44:49.014Z"""
73,SPY,"""2024-01-12T04:00:00.000Z""",42.62,-7.0674,-5.6539,0.4606,7.0609,2.6843,-0.3556,2.2845,-0.6121,2.7063,-1.1958,2.7818,3.2423,1.4459,HOLD,0.48,20,good,"""2025-08-06T00:44:49.014Z""","""2025-08-06T00:44:49.014Z"""
74,SPY,"""2024-01-15T04:00:00.000Z""",49.23,-6.2562,-5.005,0.519,7.0108,0.3029,0.155,2.5437,-0.0164,2.5293,-1.2183,0.4925,2.7578,1.2391,HOLD,0.41,20,good,"""2025-08-06T00:44:49.015Z""","""2025-08-06T00:44:49.015Z"""
75,SPY,"""2024-01-16T04:00:00.000Z""",56.0,-5.1449,-4.116,0.7318,7.6688,1.5311,1.7804,2.5184,0.9629,2.8999,-0.9021,1.5007,2.8261,1.7228,BUY,0.86,20,good,"""2025-08-06T00:44:49.015Z""","""2025-08-06T00:44:49.015Z"""
76,SPY,"""2024-01-17T04:00:00.000Z""",59.72,-3.9851,-3.1881,0.8663,8.787,0.8596,2.7009,2.3168,2.021,2.7068,-0.3824,0.8192,2.5546,1.8306,BUY,0.92,20,good,"""2025-08-06T00:44:49.016Z""","""2025-08-06T00:44:49.016Z"""
77,SPY,"""2024-01-18T04:00:00.000Z""",67.54,-2.6473,-2.1178,1.0127,10.6444,1.4185,4.0749,2.2987,2.7114,2.5751,0.4558,1.197,2.4688,2.1108,BUY,1.0,20,good,"""2025-08-06T00:44:49.017Z""","""2025-08-06T00:44:49.017Z"""
78,SPY,"""2024-01-19T04:00:00.000Z""",62.9,-1.7285,-1.3828,0.9134,11.6842,-0.5816,3.4152,1.7677,2.7032,1.9027,0.8913,-0.5682,1.8961,1.5966,BUY,0.8,20,good,"""2025-08-06T00:44:49.017Z""","""2025-08-06T00:44:49.017Z"""
79,SPY,"""2024-01-22T04:00:00.000Z""",67.53,-0.6133,-0.4906,1.006,13.2657,1.3776,4.6694,1.7413,2.6229,1.8831,1.4799,1.0612,1.9556,1.8762,BUY,0.94,20,good,"""2025-08-06T00:44:49.018Z""","""2025-08-06T00:44:49.018Z"""
80,SPY,"""2024-01-23T04:00:00.000Z""",56.5,-0.4983,-0.3986,0.6805,13.3997,-2.7697,1.6885,1.1092,2.201,0.8379,1.4744,-2.2362,0.963,0.8615,HOLD,0.29,20,good,"""2025-08-06T00:44:49.018Z""","""2025-08-06T00:44:49.018Z"""
81,SPY,"""2024-01-24T04:00:00.000Z""",58.32,-0.1569,-0.1255,0.7578,13.7174,0.9139,2.4829,1.0867,1.978,0.9661,1.586,0.6013,1.0858,1.2685,HOLD,0.42,20,good,"""2025-08-06T00:44:49.019Z""","""2025-08-06T00:44:49.019Z"""
82,SPY,"""2024-01-25T04:00:00.000Z""",56.25,0.0048,0.0038,0.6996,13.8868,-0.397,1.9541,0.9001,1.761,0.7125,1.581,-0.4052,0.8382,0.9533,HOLD,0.32,20,good,"""2025-08-06T00:44:49.019Z""","""2025-08-06T00:44:49.019Z"""
83,SPY,"""2024-01-26T04:00:00.000Z""",61.57,-0.0913,-0.073,0.6021,13.2428,-0.8236,0.9963,1.0348,1.5245,0.3512,1.2919,-0.7332,0.4755,0.7593,HOLD,0.25,20,good,"""2025-08-06T00:44:49.020Z""","""2025-08-06T00:44:49.020Z"""
84,SPY,"""2024-01-29T04:00:00.000Z""",59.36,-0.6385,-0.5108,0.42,11.8671,-1.7651,-0.7809,0.8436,1.2081,-0.2616,0.7515,-1.3095,-0.1383,0.3386,HOLD,0.08,20,good,"""2025-08-06T00:44:49.020Z""","""2025-08-06T00:44:49.020Z"""
85,SPY,"""2024-01-30T04:00:00.000Z""",62.44,-0.9132,-0.7305,0.4731,9.5372,0.5575,-0.2616,0.8929,1.0121,-0.1413,-0.1394,0.3795,-0.0288,0.4952,HOLD,0.12,20,good,"""2025-08-06T00:44:49.021Z""","""2025-08-06T00:44:49.021Z"""
86,SPY,"""2024-01-31T04:00:00.000Z""",63.85,-0.6202,-0.4961,0.6517,7.3935,1.8803,1.4822,0.8682,1.0012,0.382,-0.9102,1.2328,0.4869,0.6673,HOLD,0.22,20,good,"""2025-08-06T00:44:49.021Z""","""2025-08-06T00:44:49.021Z"""
87,SPY,"""2024-02-01T04:00:00.000Z""",60.08,-0.1458,-0.1167,0.7222,6.9059,0.8814,2.207,0.6101,1.0445,0.5491,-1.0525,0.4969,0.6597,0.5313,HOLD,0.18,20,good,"""2025-08-06T00:44:49.022Z""","""2025-08-06T00:44:49.022Z"""
88,SPY,"""2024-02-02T04:00:00.000Z""",60.33,0.3335,0.2668,0.7396,6.4694,0.3899,2.4326,0.546,1.0848,0.5405,-1.194,0.1493,0.6635,0.4581,HOLD,0.11,20,good,"""2025-08-06T00:44:49.022Z""","""2025-08-06T00:44:49.022Z"""
89,SPY,"""2024-02-05T04:00:00.000Z""",53.35,0.4891,0.3913,0.6411,6.3856,-0.7914,1.3702,0.0595,1.0312,0.1168,-1.1941,-0.8008,0.2009,0.0708,HOLD,0.02,20,good,"""2025-08-06T00:44:49.023Z""","""2025-08-06T00:44:49.023Z"""
