id,symbol,date,rsi,macd,macd_signal,percent_b,atr,price_change,ma_trend,created_at,updated_at
40,SPY,"""2023-10-31T04:00:00.000Z""",48.95,-5.0044,-4.0035,0.5151,6.1885,0.4765,0.1004,"""2025-08-06T00:44:21.007Z""","""2025-08-06T00:44:21.007Z"""
41,SPY,"""2023-11-01T04:00:00.000Z""",37.36,-4.9977,-3.9982,0.2985,5.3491,-1.5676,-1.2647,"""2025-08-06T00:44:21.009Z""","""2025-08-06T00:44:21.009Z"""
42,SPY,"""2023-11-02T04:00:00.000Z""",41.1,-4.9227,-3.9382,0.3255,4.9525,0.0462,-1.0491,"""2025-08-06T00:44:21.010Z""","""2025-08-06T00:44:21.010Z"""
43,SPY,"""2023-11-03T04:00:00.000Z""",54.94,-4.713,-3.7704,0.4011,4.8079,0.3432,-0.5513,"""2025-08-06T00:44:21.010Z""","""2025-08-06T00:44:21.010Z"""
44,SPY,"""2023-11-06T04:00:00.000Z""",57.39,-4.4981,-3.5985,0.4202,4.4539,-0.0115,-0.3599,"""2025-08-06T00:44:21.011Z""","""2025-08-06T00:44:21.011Z"""
45,SPY,"""2023-11-07T04:00:00.000Z""",58.71,-4.178,-3.3424,0.5174,4.0774,0.3622,0.0749,"""2025-08-06T00:44:21.012Z""","""2025-08-06T00:44:21.012Z"""
46,SPY,"""2023-11-08T04:00:00.000Z""",63.95,-3.5166,-2.8133,0.8143,4.0572,1.3031,1.3675,"""2025-08-06T00:44:21.013Z""","""2025-08-06T00:44:21.013Z"""
47,SPY,"""2023-11-09T04:00:00.000Z""",61.96,-2.9041,-2.3233,0.8898,4.3199,0.1922,1.5965,"""2025-08-06T00:44:21.014Z""","""2025-08-06T00:44:21.014Z"""
48,SPY,"""2023-11-10T04:00:00.000Z""",71.39,-1.9692,-1.5753,1.1246,5.1778,1.4927,3.0189,"""2025-08-06T00:44:21.015Z""","""2025-08-06T00:44:21.015Z"""
49,SPY,"""2023-11-13T04:00:00.000Z""",61.41,-1.4439,-1.1551,0.8991,5.5631,-0.8007,2.0216,"""2025-08-06T00:44:21.016Z""","""2025-08-06T00:44:21.016Z"""
50,SPY,"""2023-11-14T04:00:00.000Z""",63.67,-0.6107,-0.4886,1.0666,6.8482,1.4237,3.2058,"""2025-08-06T00:44:21.017Z""","""2025-08-06T00:44:21.017Z"""
51,SPY,"""2023-11-15T04:00:00.000Z""",60.63,-0.2031,-0.1625,0.8661,7.2473,-0.8732,2.0909,"""2025-08-06T00:44:21.018Z""","""2025-08-06T00:44:21.018Z"""
52,SPY,"""2023-11-16T04:00:00.000Z""",57.7,0.1322,0.1058,0.8396,7.6169,0.0474,1.9279,"""2025-08-06T00:44:21.019Z""","""2025-08-06T00:44:21.019Z"""
53,SPY,"""2023-11-17T04:00:00.000Z""",59.46,0.2282,0.1826,0.7135,7.6425,-0.5768,1.1955,"""2025-08-06T00:44:21.020Z""","""2025-08-06T00:44:21.020Z"""
54,SPY,"""2023-11-20T04:00:00.000Z""",64.05,0.7771,0.6217,0.958,8.3716,1.6731,2.6249,"""2025-08-06T00:44:21.021Z""","""2025-08-06T00:44:21.021Z"""
55,SPY,"""2023-11-21T04:00:00.000Z""",74.92,1.1983,0.9586,0.9012,8.272,0.0,2.4274,"""2025-08-06T00:44:21.022Z""","""2025-08-06T00:44:21.022Z"""
56,SPY,"""2023-11-22T04:00:00.000Z""",74.57,1.5067,1.2053,0.8523,7.8145,-0.0276,2.2472,"""2025-08-06T00:44:21.023Z""","""2025-08-06T00:44:21.023Z"""
57,SPY,"""2023-11-23T04:00:00.000Z""",73.44,1.7255,1.3804,0.8129,7.1952,-0.0193,2.0572,"""2025-08-06T00:44:21.024Z""","""2025-08-06T00:44:21.024Z"""
58,SPY,"""2023-11-24T04:00:00.000Z""",74.2,1.9419,1.5535,0.8128,6.2026,0.2234,2.143,"""2025-08-06T00:44:21.025Z""","""2025-08-06T00:44:21.025Z"""
59,SPY,"""2023-11-27T04:00:00.000Z""",69.73,1.9689,1.5751,0.727,4.7844,-0.4155,1.5548,"""2025-08-06T00:44:21.025Z""","""2025-08-06T00:44:21.025Z"""
60,SPY,"""2023-11-28T04:00:00.000Z""",58.2,1.7171,1.3736,0.5856,4.1,-0.8676,0.5796,"""2025-08-06T00:44:21.026Z""","""2025-08-06T00:44:21.026Z"""
61,SPY,"""2023-11-29T04:00:00.000Z""",61.86,1.7914,1.4331,0.7172,3.3989,1.0173,1.3777,"""2025-08-06T00:44:21.027Z""","""2025-08-06T00:44:21.027Z"""
62,SPY,"""2023-11-30T04:00:00.000Z""",46.32,1.4112,1.129,0.4588,3.6496,-1.4458,-0.2336,"""2025-08-06T00:44:21.029Z""","""2025-08-06T00:44:21.029Z"""
63,SPY,"""2023-12-01T04:00:00.000Z""",53.07,1.2257,0.9805,0.5128,3.3917,0.4507,0.0643,"""2025-08-06T00:44:21.030Z""","""2025-08-06T00:44:21.030Z"""
64,SPY,"""2023-12-04T04:00:00.000Z""",45.57,1.1134,0.8907,0.5165,3.3884,0.1644,0.0685,"""2025-08-06T00:44:21.030Z""","""2025-08-06T00:44:21.030Z"""
65,SPY,"""2023-12-05T04:00:00.000Z""",49.52,0.9394,0.7515,0.4016,3.411,-0.256,-0.3169,"""2025-08-06T00:44:21.031Z""","""2025-08-06T00:44:21.031Z"""
66,SPY,"""2023-12-06T04:00:00.000Z""",43.58,0.5291,0.4233,0.0905,3.953,-0.9206,-1.2545,"""2025-08-06T00:44:21.032Z""","""2025-08-06T00:44:21.032Z"""
67,SPY,"""2023-12-07T04:00:00.000Z""",41.75,-0.0648,-0.0519,-0.1318,4.9819,-0.9404,-2.1483,"""2025-08-06T00:44:21.033Z""","""2025-08-06T00:44:21.033Z"""
68,SPY,"""2023-12-08T04:00:00.000Z""",46.78,0.175,0.14,0.5861,4.848,2.5097,0.2938,"""2025-08-06T00:44:21.034Z""","""2025-08-06T00:44:21.034Z"""
69,SPY,"""2023-12-11T04:00:00.000Z""",41.23,0.0051,0.0041,0.2278,4.8472,-1.2366,-0.9382,"""2025-08-06T00:44:21.035Z""","""2025-08-06T00:44:21.036Z"""
70,SPY,"""2023-12-12T04:00:00.000Z""",39.14,-0.2964,-0.2371,0.1115,5.0039,-0.5923,-1.4182,"""2025-08-06T00:44:21.037Z""","""2025-08-06T00:44:21.037Z"""
71,SPY,"""2023-12-13T04:00:00.000Z""",38.07,-0.6234,-0.4987,0.0805,5.1665,-0.3332,-1.6672,"""2025-08-06T00:44:21.038Z""","""2025-08-06T00:44:21.038Z"""
72,SPY,"""2023-12-14T04:00:00.000Z""",33.28,-1.2099,-0.9679,-0.0729,5.7592,-1.1986,-2.7074,"""2025-08-06T00:44:21.039Z""","""2025-08-06T00:44:21.039Z"""
73,SPY,"""2023-12-15T04:00:00.000Z""",38.68,-1.4219,-1.1375,0.1372,5.6901,0.8403,-1.8185,"""2025-08-06T00:44:21.040Z""","""2025-08-06T00:44:21.040Z"""
74,SPY,"""2023-12-18T04:00:00.000Z""",35.89,-2.1046,-1.6837,-0.0883,7.0236,-1.8998,-3.4429,"""2025-08-06T00:44:21.041Z""","""2025-08-06T00:44:21.041Z"""
75,SPY,"""2023-12-19T04:00:00.000Z""",28.97,-2.8365,-2.2692,-0.0807,7.9584,-0.803,-3.941,"""2025-08-06T00:44:21.041Z""","""2025-08-06T00:44:21.042Z"""
76,SPY,"""2023-12-20T04:00:00.000Z""",32.39,-3.3896,-2.7117,0.003,8.9887,-0.0438,-3.7035,"""2025-08-06T00:44:21.042Z""","""2025-08-06T00:44:21.042Z"""
77,SPY,"""2023-12-21T04:00:00.000Z""",27.53,-4.0531,-3.2425,-0.0228,10.0752,-0.9853,-4.3294,"""2025-08-06T00:44:21.043Z""","""2025-08-06T00:44:21.043Z"""
78,SPY,"""2023-12-22T04:00:00.000Z""",26.43,-4.5452,-3.6361,0.0386,10.5803,-0.0679,-4.0553,"""2025-08-06T00:44:21.044Z""","""2025-08-06T00:44:21.044Z"""
79,SPY,"""2023-12-25T04:00:00.000Z""",25.48,-5.0847,-4.0677,0.0305,11.1624,-0.7624,-4.4333,"""2025-08-06T00:44:21.045Z""","""2025-08-06T00:44:21.045Z"""
80,SPY,"""2023-12-26T04:00:00.000Z""",25.01,-5.7812,-4.625,0.0002,12.3881,-1.2387,-5.2516,"""2025-08-06T00:44:21.046Z""","""2025-08-06T00:44:21.046Z"""
81,SPY,"""2023-12-27T04:00:00.000Z""",26.73,-6.2866,-5.0293,0.0539,13.4286,-0.0965,-4.9209,"""2025-08-06T00:44:21.047Z""","""2025-08-06T00:44:21.047Z"""
82,SPY,"""2023-12-28T04:00:00.000Z""",8.2,-6.6557,-5.3245,0.0964,12.7492,-0.169,-4.7208,"""2025-08-06T00:44:21.048Z""","""2025-08-06T00:44:21.048Z"""
83,SPY,"""2023-12-29T04:00:00.000Z""",8.65,-7.0779,-5.6623,0.088,12.6141,-0.792,-5.0566,"""2025-08-06T00:44:21.049Z""","""2025-08-06T00:44:21.049Z"""
84,SPY,"""2024-01-01T04:00:00.000Z""",15.12,-7.1518,-5.7214,0.1745,11.906,0.6734,-4.0144,"""2025-08-06T00:44:21.050Z""","""2025-08-06T00:44:21.050Z"""
85,SPY,"""2024-01-02T04:00:00.000Z""",15.3,-7.1912,-5.7529,0.1875,10.9302,-0.2391,-3.8405,"""2025-08-06T00:44:21.051Z""","""2025-08-06T00:44:21.051Z"""
86,SPY,"""2024-01-03T04:00:00.000Z""",17.42,-7.1505,-5.7204,0.2142,10.256,-0.0394,-3.5166,"""2025-08-06T00:44:21.052Z""","""2025-08-06T00:44:21.052Z"""
87,SPY,"""2024-01-04T04:00:00.000Z""",10.18,-6.9932,-5.5946,0.2533,8.1811,0.1669,-3.0458,"""2025-08-06T00:44:21.053Z""","""2025-08-06T00:44:21.053Z"""
88,SPY,"""2024-01-05T04:00:00.000Z""",18.0,-6.701,-5.3608,0.2963,7.0152,0.3394,-2.2929,"""2025-08-06T00:44:21.054Z""","""2025-08-06T00:44:21.054Z"""
89,SPY,"""2024-01-08T04:00:00.000Z""",14.46,-7.037,-5.6296,0.1172,7.1179,-2.428,-4.1973,"""2025-08-06T00:44:21.055Z""","""2025-08-06T00:44:21.055Z"""
90,SPY,"""2024-01-09T04:00:00.000Z""",12.7,-7.528,-6.0224,0.0572,7.4923,-1.1947,-4.85,"""2025-08-06T00:44:21.056Z""","""2025-08-06T00:44:21.056Z"""
91,SPY,"""2024-01-10T04:00:00.000Z""",13.43,-7.9649,-6.3719,0.0525,8.239,-0.5419,-4.8636,"""2025-08-06T00:44:21.057Z""","""2025-08-06T00:44:21.057Z"""
92,SPY,"""2024-01-11T04:00:00.000Z""",24.1,-7.8981,-6.3185,0.1887,7.7243,1.2567,-3.2741,"""2025-08-06T00:44:21.058Z""","""2025-08-06T00:44:21.058Z"""
93,SPY,"""2024-01-12T04:00:00.000Z""",42.62,-7.0674,-5.6539,0.4606,7.0609,2.6843,-0.3556,"""2025-08-06T00:44:21.059Z""","""2025-08-06T00:44:21.059Z"""
94,SPY,"""2024-01-15T04:00:00.000Z""",49.23,-6.2562,-5.005,0.519,7.0108,0.3029,0.155,"""2025-08-06T00:44:21.060Z""","""2025-08-06T00:44:21.060Z"""
95,SPY,"""2024-01-16T04:00:00.000Z""",56.0,-5.1449,-4.116,0.7318,7.6688,1.5311,1.7804,"""2025-08-06T00:44:21.061Z""","""2025-08-06T00:44:21.061Z"""
96,SPY,"""2024-01-17T04:00:00.000Z""",59.72,-3.9851,-3.1881,0.8663,8.787,0.8596,2.7009,"""2025-08-06T00:44:21.062Z""","""2025-08-06T00:44:21.062Z"""
97,SPY,"""2024-01-18T04:00:00.000Z""",67.54,-2.6473,-2.1178,1.0127,10.6444,1.4185,4.0749,"""2025-08-06T00:44:21.063Z""","""2025-08-06T00:44:21.063Z"""
98,SPY,"""2024-01-19T04:00:00.000Z""",62.9,-1.7285,-1.3828,0.9134,11.6842,-0.5816,3.4152,"""2025-08-06T00:44:21.064Z""","""2025-08-06T00:44:21.064Z"""
99,SPY,"""2024-01-22T04:00:00.000Z""",67.53,-0.6133,-0.4906,1.006,13.2657,1.3776,4.6694,"""2025-08-06T00:44:21.065Z""","""2025-08-06T00:44:21.065Z"""
100,SPY,"""2024-01-23T04:00:00.000Z""",56.5,-0.4983,-0.3986,0.6805,13.3997,-2.7697,1.6885,"""2025-08-06T00:44:21.066Z""","""2025-08-06T00:44:21.066Z"""
101,SPY,"""2024-01-24T04:00:00.000Z""",58.32,-0.1569,-0.1255,0.7578,13.7174,0.9139,2.4829,"""2025-08-06T00:44:21.067Z""","""2025-08-06T00:44:21.067Z"""
102,SPY,"""2024-01-25T04:00:00.000Z""",56.25,0.0048,0.0038,0.6996,13.8868,-0.397,1.9541,"""2025-08-06T00:44:21.068Z""","""2025-08-06T00:44:21.068Z"""
103,SPY,"""2024-01-26T04:00:00.000Z""",61.57,-0.0913,-0.073,0.6021,13.2428,-0.8236,0.9963,"""2025-08-06T00:44:21.069Z""","""2025-08-06T00:44:21.069Z"""
104,SPY,"""2024-01-29T04:00:00.000Z""",59.36,-0.6385,-0.5108,0.42,11.8671,-1.7651,-0.7809,"""2025-08-06T00:44:21.070Z""","""2025-08-06T00:44:21.070Z"""
105,SPY,"""2024-01-30T04:00:00.000Z""",62.44,-0.9132,-0.7305,0.4731,9.5372,0.5575,-0.2616,"""2025-08-06T00:44:21.071Z""","""2025-08-06T00:44:21.071Z"""
106,SPY,"""2024-01-31T04:00:00.000Z""",63.85,-0.6202,-0.4961,0.6517,7.3935,1.8803,1.4822,"""2025-08-06T00:44:21.072Z""","""2025-08-06T00:44:21.072Z"""
107,SPY,"""2024-02-01T04:00:00.000Z""",60.08,-0.1458,-0.1167,0.7222,6.9059,0.8814,2.207,"""2025-08-06T00:44:21.073Z""","""2025-08-06T00:44:21.073Z"""
108,SPY,"""2024-02-02T04:00:00.000Z""",60.33,0.3335,0.2668,0.7396,6.4694,0.3899,2.4326,"""2025-08-06T00:44:21.074Z""","""2025-08-06T00:44:21.074Z"""
109,SPY,"""2024-02-05T04:00:00.000Z""",53.35,0.4891,0.3913,0.6411,6.3856,-0.7914,1.3702,"""2025-08-06T00:44:21.075Z""","""2025-08-06T00:44:21.075Z"""
110,SPY,"""2024-02-06T04:00:00.000Z""",51.16,0.6494,0.5195,0.6402,6.403,0.1619,1.217,"""2025-08-06T00:44:21.076Z""","""2025-08-06T00:44:21.076Z"""
111,SPY,"""2024-02-07T04:00:00.000Z""",39.47,0.1764,0.1411,0.3269,6.4996,-2.1778,-1.2126,"""2025-08-06T00:44:21.077Z""","""2025-08-06T00:44:21.077Z"""
112,SPY,"""2024-02-08T04:00:00.000Z""",39.61,-0.3406,-0.2725,0.1742,6.884,-0.5438,-1.8885,"""2025-08-06T00:44:21.078Z""","""2025-08-06T00:44:21.078Z"""
113,SPY,"""2024-02-09T04:00:00.000Z""",39.94,-0.3437,-0.275,0.4088,5.7692,1.5074,-0.4965,"""2025-08-06T00:44:21.079Z""","""2025-08-06T00:44:21.079Z"""
114,SPY,"""2024-02-12T04:00:00.000Z""",43.22,-0.7889,-0.6311,0.1109,6.2694,-1.6666,-2.1445,"""2025-08-06T00:44:21.080Z""","""2025-08-06T00:44:21.080Z"""
115,SPY,"""2024-02-13T04:00:00.000Z""",41.7,-0.9844,-0.7875,0.2275,6.2454,0.5478,-1.5505,"""2025-08-06T00:44:21.081Z""","""2025-08-06T00:44:21.081Z"""
116,SPY,"""2024-02-14T04:00:00.000Z""",37.65,-1.64,-1.312,-0.0057,7.1855,-1.9384,-3.2683,"""2025-08-06T00:44:21.082Z""","""2025-08-06T00:44:21.082Z"""
117,SPY,"""2024-02-15T04:00:00.000Z""",41.05,-2.0489,-1.6391,0.0949,7.7899,0.3315,-2.7016,"""2025-08-06T00:44:21.083Z""","""2025-08-06T00:44:21.083Z"""
118,SPY,"""2024-02-16T04:00:00.000Z""",51.6,-1.9685,-1.5748,0.3258,7.6772,1.4471,-1.1421,"""2025-08-06T00:44:21.084Z""","""2025-08-06T00:44:21.084Z"""
119,SPY,"""2024-02-19T04:00:00.000Z""",45.83,-2.207,-1.7656,0.1597,8.0692,-1.2244,-2.0741,"""2025-08-06T00:44:21.085Z""","""2025-08-06T00:44:21.085Z"""
120,SPY,"""2024-02-20T04:00:00.000Z""",41.75,-2.1597,-1.7277,0.3069,8.0022,0.7999,-1.1896,"""2025-08-06T00:44:21.086Z""","""2025-08-06T00:44:21.086Z"""
121,SPY,"""2024-02-21T04:00:00.000Z""",36.21,-2.2663,-1.8131,0.2322,7.5702,-0.6391,-1.6439,"""2025-08-06T00:44:21.087Z""","""2025-08-06T00:44:21.087Z"""
122,SPY,"""2024-02-22T04:00:00.000Z""",37.93,-2.1134,-1.6908,0.378,6.3601,0.8048,-0.7326,"""2025-08-06T00:44:21.088Z""","""2025-08-06T00:44:21.088Z"""
123,SPY,"""2024-02-23T04:00:00.000Z""",45.95,-1.5787,-1.263,0.6241,5.6873,1.4818,0.7437,"""2025-08-06T00:44:21.089Z""","""2025-08-06T00:44:21.089Z"""
124,SPY,"""2024-02-26T04:00:00.000Z""",47.98,-0.9399,-0.7519,0.7276,5.1902,0.7539,1.38,"""2025-08-06T00:44:21.090Z""","""2025-08-06T00:44:21.090Z"""
125,SPY,"""2024-02-27T04:00:00.000Z""",60.17,-0.0347,-0.0278,0.9108,6.9194,1.461,2.6887,"""2025-08-06T00:44:21.091Z""","""2025-08-06T00:44:21.091Z"""
126,SPY,"""2024-02-28T04:00:00.000Z""",65.04,0.9653,0.7723,0.9996,8.9406,1.061,3.6449,"""2025-08-06T00:44:21.092Z""","""2025-08-06T00:44:21.092Z"""
127,SPY,"""2024-02-29T04:00:00.000Z""",62.07,1.8104,1.4483,0.9822,10.536,0.2625,3.8156,"""2025-08-06T00:44:21.093Z""","""2025-08-06T00:44:21.093Z"""
128,SPY,"""2024-03-01T04:00:00.000Z""",66.67,2.2692,1.8153,0.8786,11.293,-0.6588,3.0869,"""2025-08-06T00:44:21.094Z""","""2025-08-06T00:44:21.094Z"""
129,SPY,"""2024-03-04T04:00:00.000Z""",61.07,2.3682,1.8946,0.7614,11.5769,-0.8514,2.1684,"""2025-08-06T00:44:21.095Z""","""2025-08-06T00:44:21.095Z"""
130,SPY,"""2024-03-05T04:00:00.000Z""",69.4,2.3439,1.8751,0.7238,10.9927,-0.2745,1.8698,"""2025-08-06T00:44:21.096Z""","""2025-08-06T00:44:21.096Z"""
131,SPY,"""2024-03-06T04:00:00.000Z""",65.99,2.176,1.7408,0.6553,10.2282,-0.4481,1.3065,"""2025-08-06T00:44:21.097Z""","""2025-08-06T00:44:21.097Z"""
132,SPY,"""2024-03-07T04:00:00.000Z""",57.4,1.8131,1.4505,0.5529,9.9114,-0.762,0.4404,"""2025-08-06T00:44:21.098Z""","""2025-08-06T00:44:21.098Z"""
133,SPY,"""2024-03-08T04:00:00.000Z""",64.75,1.556,1.2448,0.5709,8.8862,0.1779,0.5906,"""2025-08-06T00:44:21.099Z""","""2025-08-06T00:44:21.099Z"""
134,SPY,"""2024-03-11T04:00:00.000Z""",64.46,1.5226,1.2181,0.6378,8.1172,0.6895,1.1362,"""2025-08-06T00:44:21.100Z""","""2025-08-06T00:44:21.100Z"""
135,SPY,"""2024-03-12T04:00:00.000Z""",68.4,1.4712,1.177,0.6203,6.5443,-0.0294,0.9876,"""2025-08-06T00:44:21.101Z""","""2025-08-06T00:44:21.101Z"""
136,SPY,"""2024-03-13T04:00:00.000Z""",53.02,0.8398,0.6718,0.3368,6.0409,-2.1167,-1.255,"""2025-08-06T00:44:21.102Z""","""2025-08-06T00:44:21.102Z"""
